ambito;dbms;istanza;nome tabella;nome colonna;nome funzionale
Global;prosgres;xxxxxx;AdditionalContribution;id;id
Global;prosgres;xxxxxx;AdditionalContribution;type;type
Global;prosgres;xxxxxx;AdditionalContribution;presentationDate;presentation date
Global;prosgres;xxxxxx;AdditionalContribution;createdAt;created at
Global;prosgres;xxxxxx;AdditionalContribution;updatedAt;updated at
Global;prosgres;xxxxxx;AdditionalContribution;deletedAt;deleted at
Global;prosgres;xxxxxx;AdditionalContribution;inImport;in import
Global;prosgres;xxxxxx;AdditionalContribution;nsiaNumeroPosizione;nsia numero posizione
Global;prosgres;xxxxxx;AdditionalContribution;nsiaStatus;nsia status
Global;prosgres;xxxxxx;AdditionalContribution;nsiaNota;nsia nota
Global;prosgres;xxxxxx;AdditionalContribution;nsiaDataDelibera;nsia data delibera
Global;prosgres;xxxxxx;AdditionalContribution;nsiaCodiceCor;nsia codice cor
Global;prosgres;xxxxxx;AdditionalContribution;nsiaDataRilascioCor;nsia data rilascio cor
Global;prosgres;xxxxxx;AdditionalContribution;nsiaImportoContributoDeliberato;nsia importo contributo deliberato
Global;prosgres;xxxxxx;AdditionalContribution;nsiaImportoContributoLiquidato;nsia importo contributo liquidato
Global;prosgres;xxxxxx;AdditionalContribution;nsiaDataLiquidazione;nsia data liquidazione
Global;prosgres;xxxxxx;AdditionalContribution;nsiaIbanLiquidazione;nsia iban liquidazione
Global;prosgres;xxxxxx;AdditionalContribution;nsiaDataRevoca;nsia data revoca
Global;prosgres;xxxxxx;AdditionalContribution;nsiaMotivoRevoca;nsia motivo revoca
Global;prosgres;xxxxxx;AdditionalContribution;nsiaImportoContributoRevocato;nsia importo contributo revocato
Global;prosgres;xxxxxx;AdditionalContribution;nsiaDataAvvioProcedimentoRevoca;nsia data avvio procedimento revoca
Global;prosgres;xxxxxx;AdditionalContribution;nsiaImportoRecuperoDovuto;nsia importo recupero dovuto
Global;prosgres;xxxxxx;AdditionalContribution;nsiaInteressiDovuti;nsia interessi dovuti
Global;prosgres;xxxxxx;AdditionalContribution;nsiaDataRichiestaRecupero;nsia data richiesta recupero
Global;prosgres;xxxxxx;AdditionalContribution;nsiaImportoContributoRestituito;nsia importo contributo restituito
Global;prosgres;xxxxxx;AdditionalContribution;nsiaImportoInteressiRestituiti;nsia importo interessi restituiti
Global;prosgres;xxxxxx;AdditionalContribution;nsiaDataRestituzione;nsia data restituzione
Global;prosgres;xxxxxx;Application;id;id
Global;prosgres;xxxxxx;Application;practiceId;practice id
Global;prosgres;xxxxxx;Application;flagEnergia;flag energia
Global;prosgres;xxxxxx;Application;aeGAssuranceAmount;ae g assurance amount
Global;prosgres;xxxxxx;Application;aeGResolutionDate;ae g resolution date
Global;prosgres;xxxxxx;Application;aeAcCommissionsRebateRequest;ae ac commissions rebate request
Global;prosgres;xxxxxx;Application;aeAcInterestsContributionRequest;ae ac interests contribution request
Global;prosgres;xxxxxx;Application;aeAcLostFundContributionRequest;ae ac lost fund contribution request
Global;prosgres;xxxxxx;Application;aeAcContributionApplicationAmount;ae ac contribution application amount
Global;prosgres;xxxxxx;Application;aeAcApplicationMembers;ae ac application members
Global;prosgres;xxxxxx;Application;aeIbBusinessName;ae ib business name
