Name,Type,TTL,Value
cassacommercioliguria.it.,A,300,3.74.30.148
cassacommercioliguria.it.,NS,172800,ns-1139.awsdns-14.org. | ns-1773.awsdns-29.co.uk. | ns-242.awsdns-30.com. | ns-947.awsdns-54.net.
cassacommercioliguria.it.,SOA,900,ns-1139.awsdns-14.org. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400
_acme-challenge.cassacommercioliguria.it.,TXT,300,"""6EnP23W_q3SdOV9tbhE_QaTc4l1SLXlg1WO_Rq7cy8Q"""
dorvq4spzfkmlm6dyehkbw7hujvfvwx7._domainkey.cassacommercioliguria.it.,CNAME,3600,dorvq4spzfkmlm6dyehkbw7hujvfvwx7.dkim.amazonses.com
i7e4yc77gajiqjdzclxuhezde3rsalds._domainkey.cassacommercioliguria.it.,CNAME,3600,i7e4yc77gajiqjdzclxuhezde3rsalds.dkim.amazonses.com
p7it4abbo6mylqrzrg6cdmeuljmidifv._domainkey.cassacommercioliguria.it.,CNAME,3600,p7it4abbo6mylqrzrg6cdmeuljmidifv.dkim.amazonses.com
qd3phyt2r6pqgeo52uw6ahok2ypfbjey._domainkey.cassacommercioliguria.it.,CNAME,3600,qd3phyt2r6pqgeo52uw6ahok2ypfbjey.dkim.amazonses.com
qkypsmzzjmfme4nshkfz5qf7zebn2wch._domainkey.cassacommercioliguria.it.,CNAME,3600,qkypsmzzjmfme4nshkfz5qf7zebn2wch.dkim.amazonses.com
wx4cg6zukmu47hyichv4et6oneyfgczj._domainkey.cassacommercioliguria.it.,CNAME,3600,wx4cg6zukmu47hyichv4et6oneyfgczj.dkim.amazonses.com
backoffice.cassacommercioliguria.it.,CNAME,3600,awseb--awseb-hfzn25wwuuke-458566020.eu-central-1.elb.amazonaws.com
_cdc8526b4b7c856ed9907d5e8241a8ad.backoffice.cassacommercioliguria.it.,CNAME,3600,_8692de5a53929954c033893306c2f9f9.btkxpdzscj.acm-validations.aws
bo-dr.cassacommercioliguria.it.,CNAME,86400,awseb--AWSEB-xXn4L29rwTvE-1246881495.eu-west-3.elb.amazonaws.com
_4f2e62e81d2c5e5f7d697fc4c6a8b952.bo-dr.cassacommercioliguria.it.,CNAME,300,_3b298e9ed85a3a473ddc00622f98ba03.djqtsrsxkq.acm-validations.aws.
mx.cassacommercioliguria.it.,A,3600,62.149.128.151 | 62.149.128.154 | 62.149.128.157 | 62.149.128.160 | 62.149.128.163 | 62.149.128.166 | 62.149.128.72 | 62.149.128.74
mx.cassacommercioliguria.it.,MX,3600,10 mx.cassacommercioliguria.it
pec.cassacommercioliguria.it.,MX,3600,10 mx.pec.aruba.it
www-staging.cassacommercioliguria.it.,A,300,3.74.30.148
www.cassacommercioliguria.it.,A,300,3.74.30.148
_acme-challenge.www.cassacommercioliguria.it.,TXT,3600,"""Mk5YAwKORKE0ze2uGG77j7wG9njvcJfAUhK3w-9_2rM"""
