ambito;dbms;istanza;nome tabella;nome colonna;nome funzionale
global;prosgres;xxxxxx;AdditionalContribution;id;Identificativo contributo aggiuntivo
global;prosgres;xxxxxx;AdditionalContribution;type;Tipo contributo aggiuntivo
global;prosgres;xxxxxx;AdditionalContribution;presentationDate;Data presentazione contributo
global;prosgres;xxxxxx;AdditionalContribution;createdAt;Data creazione contributo
global;prosgres;xxxxxx;AdditionalContribution;updatedAt;Data aggiornamento contributo
global;prosgres;xxxxxx;AdditionalContribution;deletedAt;Data eliminazione contributo
global;prosgres;xxxxxx;AdditionalContribution;inImport;Contributo creato da importazione
global;prosgres;xxxxxx;AdditionalContribution;nsiaNumeroPosizione;Numero posizione NSIA contributo
global;prosgres;xxxxxx;AdditionalContribution;nsiaStatus;Stato NSIA contributo
global;prosgres;xxxxxx;AdditionalContribution;nsiaNota;Nota NSIA contributo
global;prosgres;xxxxxx;AdditionalContribution;nsiaDataDelibera;Data delibera NSIA contributo
global;prosgres;xxxxxx;AdditionalContribution;nsiaCodiceCor;Codice COR NSIA contributo
global;prosgres;xxxxxx;AdditionalContribution;nsiaDataRilascioCor;Data rilascio COR NSIA contributo
global;prosgres;xxxxxx;AdditionalContribution;nsiaImportoContributoDeliberato;Importo contributo deliberato contributo
global;prosgres;xxxxxx;AdditionalContribution;nsiaImportoContributoLiquidato;Importo contributo liquidato contributo
global;prosgres;xxxxxx;AdditionalContribution;nsiaDataLiquidazione;Data liquidazione NSIA contributo
global;prosgres;xxxxxx;AdditionalContribution;nsiaIbanLiquidazione;IBAN liquidazione NSIA contributo
global;prosgres;xxxxxx;AdditionalContribution;nsiaDataRevoca;Data revoca NSIA contributo
global;prosgres;xxxxxx;AdditionalContribution;nsiaMotivoRevoca;Motivo revoca NSIA contributo
global;prosgres;xxxxxx;AdditionalContribution;nsiaImportoContributoRevocato;Importo contributo revocato contributo
global;prosgres;xxxxxx;AdditionalContribution;nsiaDataAvvioProcedimentoRevoca;Data avvio revoca NSIA contributo
global;prosgres;xxxxxx;AdditionalContribution;nsiaImportoRecuperoDovuto;Importo recupero dovuto contributo
global;prosgres;xxxxxx;AdditionalContribution;nsiaInteressiDovuti;Interessi dovuti NSIA contributo
global;prosgres;xxxxxx;AdditionalContribution;nsiaDataRichiestaRecupero;Data richiesta recupero contributo
global;prosgres;xxxxxx;AdditionalContribution;nsiaImportoContributoRestituito;Importo contributo restituito contributo
global;prosgres;xxxxxx;AdditionalContribution;nsiaImportoInteressiRestituiti;Importo interessi restituiti contributo
global;prosgres;xxxxxx;AdditionalContribution;nsiaDataRestituzione;Data restituzione NSIA contributo
global;prosgres;xxxxxx;Application;id;Identificativo pratica
global;prosgres;xxxxxx;Application;practiceId;Codice pratica gestionale
global;prosgres;xxxxxx;Application;flagEnergia;Indicatore settore energia
global;prosgres;xxxxxx;Application;aeGAssuranceAmount;Importo garanzia pratica
global;prosgres;xxxxxx;Application;aeGResolutionDate;Data delibera garanzia pratica
global;prosgres;xxxxxx;Application;aeAcCommissionsRebateRequest;Richiesta rimborso commissioni pratica
global;prosgres;xxxxxx;Application;aeAcInterestsContributionRequest;Richiesta contributo interessi pratica
global;prosgres;xxxxxx;Application;aeAcLostFundContributionRequest;Richiesta fondo perduto pratica
global;prosgres;xxxxxx;Application;aeAcContributionApplicationAmount;Importo contributo richiesto pratica
global;prosgres;xxxxxx;Application;aeAcApplicationMembers;Numero soci richiedenti pratica
global;prosgres;xxxxxx;Application;aeIbBusinessName;Ragione sociale impresa pratica
global;prosgres;xxxxxx;Application;aeIbFiscalCode;Codice fiscale impresa pratica
global;prosgres;xxxxxx;Application;aeIbSize;Dimensione impresa pratica
global;prosgres;xxxxxx;Application;aeIbConstitutionDate;Data costituzione impresa pratica
global;prosgres;xxxxxx;Application;aeIbChamberOfCommerceCode;Codice camera commercio pratica
global;prosgres;xxxxxx;Application;aeIbChamberOfCommerceRegistrationDate;Data iscrizione camera commercio pratica
global;prosgres;xxxxxx;Application;aeIbAIACode;Codice AIA impresa pratica
global;prosgres;xxxxxx;Application;aeIbAIARegistrationDate;Data iscrizione AIA pratica
global;prosgres;xxxxxx;Application;aeIbAtecoCode;Codice ATECO impresa pratica
global;prosgres;xxxxxx;Application;aeIbAtecoStartDate;Data inizio ATECO pratica
global;prosgres;xxxxxx;Application;aeIbIban;IBAN impresa pratica
global;prosgres;xxxxxx;Application;aeIbLegalForm;Forma giuridica impresa pratica
global;prosgres;xxxxxx;Application;aePecAddress;Indirizzo PEC impresa pratica
global;prosgres;xxxxxx;Application;aeOfficeAddress;Indirizzo sede legale pratica
global;prosgres;xxxxxx;Application;aeOfficePostcode;CAP sede legale pratica
global;prosgres;xxxxxx;Application;aeOfficeCity;Comune sede legale pratica
global;prosgres;xxxxxx;Application;aeWorkplaceAddress;Indirizzo sede operativa pratica
global;prosgres;xxxxxx;Application;aeWorkplacePostcode;CAP sede operativa pratica
global;prosgres;xxxxxx;Application;aeWorkplaceCity;Comune sede operativa pratica
global;prosgres;xxxxxx;Application;aeOwnerLastname;Cognome titolare pratica
global;prosgres;xxxxxx;Application;aeOwnerFirstname;Nome titolare pratica
global;prosgres;xxxxxx;Application;aeOwnerBirthDate;Data nascita titolare pratica
global;prosgres;xxxxxx;Application;aeOwnerGender;Sesso titolare pratica
global;prosgres;xxxxxx;Application;aeOwnerFiscalCode;Codice fiscale titolare pratica
global;prosgres;xxxxxx;Application;aeOwnerBirthCity;Comune nascita titolare pratica
global;prosgres;xxxxxx;Application;aeOwnerBirthCountry;Stato nascita titolare pratica
global;prosgres;xxxxxx;Application;aeOwnerJoinDate;Data ingresso titolare pratica
global;prosgres;xxxxxx;Application;aeFirstMemberLastname;Cognome primo socio pratica
global;prosgres;xxxxxx;Application;aeFirstMemberFirstname;Nome primo socio pratica
global;prosgres;xxxxxx;Application;aeFirstMemberBirthDate;Data nascita primo socio pratica
global;prosgres;xxxxxx;Application;aeFirstMemberGender;Sesso primo socio pratica
global;prosgres;xxxxxx;Application;aeFirstMemberFiscalCode;Codice fiscale primo socio pratica
global;prosgres;xxxxxx;Application;aeFirstMemberBirthCity;Comune nascita primo socio pratica
global;prosgres;xxxxxx;Application;aeFirstMemberBirthCountry;Stato nascita primo socio pratica
global;prosgres;xxxxxx;Application;aeFirstMemberJoinDate;Data ingresso primo socio pratica
global;prosgres;xxxxxx;Application;aeSecondMemberLastname;Cognome secondo socio pratica
global;prosgres;xxxxxx;Application;aeSecondMemberFirstname;Nome secondo socio pratica
global;prosgres;xxxxxx;Application;aeSecondMemberBirthDate;Data nascita secondo socio pratica
global;prosgres;xxxxxx;Application;aeSecondMemberGender;Sesso secondo socio pratica
global;prosgres;xxxxxx;Application;aeSecondMemberFiscalCode;Codice fiscale secondo socio pratica
global;prosgres;xxxxxx;Application;aeSecondMemberBirthCity;Comune nascita secondo socio pratica
global;prosgres;xxxxxx;Application;aeSecondMemberBirthCountry;Stato nascita secondo socio pratica
global;prosgres;xxxxxx;Application;aeSecondMemberJoinDate;Data ingresso secondo socio pratica
global;prosgres;xxxxxx;Application;aeThirdMemberLastname;Cognome terzo socio pratica
global;prosgres;xxxxxx;Application;aeThirdMemberFirstname;Nome terzo socio pratica
global;prosgres;xxxxxx;Application;aeThirdMemberBirthDate;Data nascita terzo socio pratica
global;prosgres;xxxxxx;Application;aeThirdMemberGender;Sesso terzo socio pratica
global;prosgres;xxxxxx;Application;aeThirdMemberFiscalCode;Codice fiscale terzo socio pratica
global;prosgres;xxxxxx;Application;aeThirdMemberBirthCity;Comune nascita terzo socio pratica
global;prosgres;xxxxxx;Application;aeThirdMemberBirthCountry;Stato nascita terzo socio pratica
global;prosgres;xxxxxx;Application;aeThirdMemberJoinDate;Data ingresso terzo socio pratica
global;prosgres;xxxxxx;Application;aeFourthMemberLastname;Cognome quarto socio pratica
global;prosgres;xxxxxx;Application;aeFourthMemberFirstname;Nome quarto socio pratica
global;prosgres;xxxxxx;Application;aeFourthMemberBirthDate;Data nascita quarto socio pratica
global;prosgres;xxxxxx;Application;aeFourthMemberGender;Sesso quarto socio pratica
global;prosgres;xxxxxx;Application;aeFourthMemberFiscalCode;Codice fiscale quarto socio pratica
global;prosgres;xxxxxx;Application;aeFourthMemberBirthCity;Comune nascita quarto socio pratica
global;prosgres;xxxxxx;Application;aeFourthMemberBirthCountry;Stato nascita quarto socio pratica
global;prosgres;xxxxxx;Application;aeFourthMemberJoinDate;Data ingresso quarto socio pratica
global;prosgres;xxxxxx;Application;fDbfBank;Banca del finanziamento pratica
global;prosgres;xxxxxx;Application;fDbfBusinessName;Denominazione banca pratica
global;prosgres;xxxxxx;Application;fDbfABI;Codice ABI banca pratica
global;prosgres;xxxxxx;Application;fFFinancialDestination;Destinazione finanziamento pratica
global;prosgres;xxxxxx;Application;fDfLoanProvidedAtImport;Finanziamento erogato pratica
global;prosgres;xxxxxx;Application;fDfAmount;Importo del finanziamento pratica
global;prosgres;xxxxxx;Application;fDfContractSignatureDate;Data firma contratto pratica
global;prosgres;xxxxxx;Application;fDfResolutionDate;Data delibera finanziamento pratica
global;prosgres;xxxxxx;Application;fDfIssueDate;Data erogazione finanziamento pratica
global;prosgres;xxxxxx;Application;fDfDuration;Durata finanziamento pratica
global;prosgres;xxxxxx;Application;fDfPeriodicity;Periodicita rate finanziamento pratica
global;prosgres;xxxxxx;Application;fDfFirstDepreciationDeadline;Prima scadenza ammortamento pratica
global;prosgres;xxxxxx;Application;fDfPreDepreciationExists;Presenza preammortamento pratica
global;prosgres;xxxxxx;Application;fDfInstallmentAmount;Importo rata finanziamento pratica
global;prosgres;xxxxxx;Application;fTRateType;Tipologia tasso finanziamento pratica
