Name,Type,TTL,Value
garanziaartigianatoliguria.it.,A,300,54.93.37.89
garanziaartigianatoliguria.it.,NS,172800,ns-407.awsdns-50.com. | ns-1984.awsdns-56.co.uk. | ns-1318.awsdns-36.org. | ns-812.awsdns-37.net.
garanziaartigianatoliguria.it.,SOA,900,ns-407.awsdns-50.com. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400
garanziaartigianatoliguria.it.,SRV,3600,0       0       443     autodiscover.aruba.it | 5       0       5222    imchat1.aruba.it | 5    0       5269    imchat1.aruba.it
garanziaartigianatoliguria.it.,TXT,300,"""v=spf1 include:_spf.aruba.it ~all"" | ""v=DMARC1; p=none; adkim=r; aspf=r;"""
_3d02e64b57978ebe50e37f5ea3a4f29b.garanziaartigianatoliguria.it.,CNAME,3600,_31a8fba3556870ad315ffe6c29213dc7.gwpjclltnz.acm-validations.aws.
_dmarc.garanziaartigianatoliguria.it.,TXT,300,"""v=DMARC1; p=none;"""
327eanikd464cak5nlvnjh5w72mqbcfv._domainkey.garanziaartigianatoliguria.it.,CNAME,1800,327eanikd464cak5nlvnjh5w72mqbcfv.dkim.amazonses.com
5tv7zujdm3b5kvciuzvggv42dxmuawfp._domainkey.garanziaartigianatoliguria.it.,CNAME,1800,5tv7zujdm3b5kvciuzvggv42dxmuawfp.dkim.amazonses.com
efxxzzcnlsu2ieihdauftjba27spjayh._domainkey.garanziaartigianatoliguria.it.,CNAME,1800,efxxzzcnlsu2ieihdauftjba27spjayh.dkim.amazonses.com
tbpxt57eeosterdju5mds6frnntkekhz._domainkey.garanziaartigianatoliguria.it.,CNAME,1800,tbpxt57eeosterdju5mds6frnntkekhz.dkim.amazonses.com
v7mmbkgiarw6ikm334yleott3mtreufu._domainkey.garanziaartigianatoliguria.it.,CNAME,1800,v7mmbkgiarw6ikm334yleott3mtreufu.dkim.amazonses.com
z5q5ej6ayabloda7ho3h7rt5y2eevhi2._domainkey.garanziaartigianatoliguria.it.,CNAME,1800,z5q5ej6ayabloda7ho3h7rt5y2eevhi2.dkim.amazonses.com
admin.garanziaartigianatoliguria.it.,CNAME,3600,admin.redirect.aruba.it.
autoconfig.garanziaartigianatoliguria.it.,CNAME,3600,autodiscover.aruba.it.
backoffice.garanziaartigianatoliguria.it.,CNAME,3600,awseb--awseb-awe6zqoz3xhg-583229621.eu-central-1.elb.amazonaws.com.
_67d3b06434cf545e26634b70a14ab049.backoffice.garanziaartigianatoliguria.it.,CNAME,3600,_657e75785ae4e3929879e61fc89ccac5.gwpjclltnz.acm-validations.aws.
_c2fb617aa2d9638d44c4a9e43b4c587d.bo-dr.garanziaartigianatoliguria.it.,CNAME,300,_c3653e9bfdf3bc0dc690a095cc14e407.djqtsrsxkq.acm-validations.aws.
ftp.garanziaartigianatoliguria.it.,CNAME,3600,www.garanziaartigianatoliguria.it.garanziaartigianatoliguria.it
imap.garanziaartigianatoliguria.it.,CNAME,3600,imaps.aruba.it.
localhost.garanziaartigianatoliguria.it.,A,3600,127.0.0.1
mx.garanziaartigianatoliguria.it.,A,3600,62.149.128.151 | 62.149.128.154 | 62.149.128.157 | 62.149.128.160 | 62.149.128.163 | 62.149.128.166 | 62.149.128.72 | 62.149.128.74
mx.garanziaartigianatoliguria.it.,MX,3600,10 mx.garanziaartigianatoliguria.it
pec.garanziaartigianatoliguria.it.,MX,300,10 mx.pec.aruba.it
test.garanziaartigianatoliguria.it.,A,3600,3.65.95.171
webmail.garanziaartigianatoliguria.it.,A,3600,62.149.158.91 | 62.149.158.92
www-staging.garanziaartigianatoliguria.it.,A,300,54.93.37.89
www.garanziaartigianatoliguria.it.,A,300,54.93.37.89
_568cddf881ffb67c232cebc4f0aa076a.www.garanziaartigianatoliguria.it.,CNAME,3600,_f22032f14e8d4e8c920f2daa73d57fd6.gwpjclltnz.acm-validations.aws.
